NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
82,1727,022.Mar/2023,008/MGMP-BCF/LKS/III/2023,,"Permohonan Izin Lokasi Shooting Produksi Program Soft News","MGMP Broadcasting Surakarta","Permohonan Izin Lokasi Shooting Produksi Program Soft News",08-Mar-23,"Fasilitasi bikin surat balasan (P Susilo/P Danang ; B Ani)",Permohonan,15-Mar-23,08.00,KST
83,1726,021.Mar/2023,008/UN27.41.23/KM/2023,2023-02-27,"Permohonan Peminjaman Tempat Acara Awarding","Ormawa Kerohanian Islam UNS","Permohonan Peminjaman Tempat Acara Awarding",07-Mar-23,,,,,
84,1725,020.Mar/2023,11/D-2/LNP/02/2023,2023-02-23,"Surat Perintah Perjalanan Dinas","Kemensetneg RI","Surat Perintah Perjalanan Dinas",07-Mar-23,"Fasilitasi (P Yudit ; P Susilo ; P Danang)",Pemberitahuan,"08-Mar-23 s.d 10-Mar-23",,
85,1724,019.Mar/2023,AT.04/1777/III/2023,2023-03-03,"Permohonan Pinjam Tempat Pembinaan Gugus Kota Layak Anak tahun 2023",DP3AP2KB,"Permohonan Pinjam Tempat Pembinaan Gugus Kota Layak Anak tahun 2023",07-Mar-23,"Sudah difasilitasi",Permohonan,06-Mar-23,09.00,"Ruang Seminar Besar STC"
86,1723,018.Mar/2023,PG.00/1055/2023,2023-02-07,"Undangan Bimtek Peningkatan Kapasitas PPK","Setda Surakarta","Undangan Bimtek Peningkatan Kapasitas PPK",07-Mar-23,"Saya hadir. Nuwun",Undangan,08-Mar-23,08.00,"Soemaryo Grand Ballroom The Sunan Hotel"
87,1722,017.Mar/2023,TM.00.07/081/III/2023,2023-03-06,"Undangan Rapat Koordinasi Laporan RBA BLUD Tahun Anggaran 2023",BPKAD,"Undangan Rapat Koordinasi Laporan RBA BLUD Tahun Anggaran 2023",07-Mar-23,"Ka. TU mohon tugaskan Mbak Ana. Nuwun",Undangan,07-Mar-23,10.00,"Ruang Rapat Lantai III BPKAD"
88,1721,016.Mar/2023,Fkapnas/No.01/III/2023,2023-03-06,"Kunjungan Persiapan Program Kapasitas Nasional 3","Forum Kapasitas Nasional III","Kunjungan Persiapan Program Kapasitas Nasional 3",06-Mar-23,"Disiapkan penerimaan )P Yudit ; P Chris ; P Tegar)",Kunjungan,08-Mar-23,08.00,"STP Petrotekno"
89,1720,015.Mar/2023,"UC TATI.100/223-",2023-03-06,"Kunjungan Penandatanganan PKS","University College TATI","Kunjungan Penandatanganan PKS",06-Mar-23,"Pengelola terima (P Yudit ; P Chris ; P Susilo ; B Ani ; P Budi)",Kunjungan,14-Mar-23,09.00-12.00,KST
90,1719,013.Mar/2023,PG.00/892/2023,2023-02-28,"Surat Edaran Pelaksanaan Pengadaan Barang/Jasa Non Tender","Setda Surakarta","Surat Edaran Pelaksanaan Pengadaan Barang/Jasa Non Tender",06-Mar-23,"Ka.TU mohon dishare ke temen-temen ASN dan dipedomani. Maturnuwun",Pemberitahuan,,,
91,1718,012.Mar/2023,126.2-A/Keg/smp-lazkam/II/2023,2023-02-27,"Permohonan Kunjungan Game Working Space","SMP Lazuardi Kamila GIS","Permohonan Kunjungan Game Working Space",06-Mar-23,"Fasilitasi GWS (M Risky ; B Ani & tim)",Permohonan,15-Mar-23,08.30-12.00,"Game Working Space"
92,1717,011.Mar/2023,59/Greet-RS/II/2023,2023-02-01,"Greeting Dies Natalis UNS Ke-47","RADAR SOLO","Greeting Dies Natalis UNS Ke-47",06-Mar-23,"Ambil Tipe B (P Untung)",,,,
93,1716,010.Mar/2023,B/1343/II/LOG.4.17.1/2023/Ditbinmas,2023-02-03,"Partisipasi menyambut hari raya idul fitri 1444 H/2023","Kepolisian Negara RI Daerah Jawa Tengah","Partisipasi dalam rangka menyambut hari raya idul fitri 1444 H/2023",06-Mar-23,"Dilewatkan dulu. Belum ada anggaran untuk kegiatan tersebut (B Ani)",Permohonan,,,
94,1715,009.Mar/2023,070/223.LIT/III/2023,2023-03-02,"Surat Izin Penelitian untuk Tugas Akhir","Balitbangda Surakarta","Surat Izin Penelitian untuk Tugas Akhir",02-Mar-23,"Fasilitasi (P Susilo ; P Danang)",Permohonan,"01-Mar s.d 31-Mei-23",,Logistik/Kerjasama
95,1714,008.Mar/2023,070/221.LIT/III/2023,2023-03-02,"Surat Izin Penelitian untuk Tugas Akhir","Balitbangda Surakarta","Surat Izin Penelitian untuk Tugas Akhir",02-Mar-23,"Fasilitasi (P Chris ; P Arif ; P Tegar)",Permohonan,"01-Mar s.d 31-Mei-23",,Produksi/Diklat
96,1713,007.Mar/2023,070/222.LIT/III/2023,2023-03-02,"Surat Izin Penelitian untuk Tugas Akhir","Balitbangda Surakarta","Surat Izin Penelitian untuk Tugas Akhir",02-Mar-23,"Fasilitasi (B Ani ; B Lucia)",Permohonan,"01-Mar s.d 31-Mei-23",,SSC
97,1712,006.Mar/2023,005/685/III/2023,2023-03-01,"Undangan Rapat Koordinasi Persiapan Kegiatan Hilirisasi Riset Perguruan Tinggi","Balitbangda Surakarta","Undangan Rapat Koordinasi Persiapan Kegiatan Hilirisasi Riset Perguruan Tinggi",02-Mar-23,"Saya hadir. Nuwun",Undangan,03-Mar-23,08.30,"Ruang Rapat Balitbangda"
98,1711,005.Mar/2023,PN.00.03/678/2023,2023-02-28,"Permohonan Narasumber Sosialisasi Lomba Kreativitas dan Inovasi Kota Surakarta Tahun 2023","Balitbangda Surakarta","Permohonan Narasumber Sosialisasi Lomba Kreativitas dan Inovasi Kota Surakarta Tahun 2023",02-Mar-23,"Ka. TU mohon dibantu membuatkan surat kesedi dan sbg narasumber atas nama saya. Nuwun",Permohonan,07-Mar-23,08.30,"Ballroom Merukawang Lantai 2 Solia Zigna Surakarta"
99,1710,004.Mar/2023,36/D.2-III/TA/III/2023,2023-03-01,"Permohonan Izin penelitian/survey/mencari data tugas studio perancangan arsitektur 4 (15 orang)",UMS,"Permohonan Izin penelitian/survey/mencari data tugas studio perancangan arsitektur 4 (15 orang)",02-Mar-23,"Fasilitasi, Tanyakan waktunya (P Susilo;P Danang; B Ani)",,,,
100,1709,003.Mar/2023,422/030/101.6.23.18/2023,2023-01-20,"Permohonan Kunjungan Industri","SMK Negeri 1 Kalitengah Lamongan","Permohonan Kunjungan Industri",01-Mar-23,"Fasilitasi Kunjungan (P Budi ; Mbak Eva)",Permohonan,09-Mar-23,10.00,KST
101,1708,002.Mar/2023,421.5/081/v.01.v1.10/026/2023,2023-03-01,"Permohonan Kunjungan Industri","SMA Negeri 1 Kalianda","Permohonan Kunjungan Industri",01-Mar-23,CANCEL,Permohonan,07-Mar-23,09.00,"Aula Gedung RnD"
102,1707,001.Mar/2023,5864/Pusdiklat/02/2023,2023-02-28,"Undangan untuk mengikuti Kegiatan Pelatihan Katalog Elektronik bagi Pejabat Pembuat Komitmen & Pejabat Pengadaan oada K/L/Pemda","LKPP RI","Undangan untuk mengikuti Kegiatan Pelatihan Katalog Elektronik bagi Pejabat Pembuat Komitmen & Pejabat Pengadaan oada K/L/Pemda",01-Mar-23,"Ka. TU mohon disiapkan SDM untuk mengikuti pelatihan PBJP (pertimbangkan beban kerja dan krn waktu pelatihan). Nuwun",Undangan,"10 s.d 16-Mar-23",,"E-Learnin / Zoom Meeting"
103,1706,082.Feb/2023,420/025/2023,2023-02-28,"Permohonan Praktik Kerja Lapangan","SMK Negeri 2 Surakarta","Permohonan Praktik Kerja Lapangan",28-Feb-23,"Fasilitasi (P Budi)",Permohonan,"10-Jul s.d 23-Des-23",,
104,1705,081.Feb/2023,0424/Sekr/AKBARA/II/2023,2023-02-28,"Permohonan Kunjungan Industri","Politeknik Akbara","Permohonan Kunjungan Industri",28-Feb-23,"Bagian pelayanan fasilitasi (P Chris ; Pak Budi)",Permohonan,08-Mar-23,09.00-12.00,KST
105,1704,080.Feb/2023,124.A/keg/smp_lazkam/II/2023,2023-02-27,"Permohonan Kunjungan Outing School","SMP Lazuardi Kamila","Permohonan Kunjungan Outing School",28-Feb-23,"Fasilitasi (Bu Ani)",Kunjungan,14-Mar-23,08.30-12.00,KST
106,1703,079.Feb/2023,,2023-02-27,"Peminjaman Area untuk Test Drive","Shopee Xpress","Peminjaman Area untuk Test Drive",27-Feb-23,"Fasilitasi (Pak Untung ; Pak Danang)",Permohonan,"4 s.d 5-Mar-23",09.00-16.00,"Area Outdoor KST"
107,1702,078.Feb/2023,"002/PPLS-JSIT JATENG/II/2023",2023-02-14,"Permohonan Izin Tempat Kunjungan","JSIT Indonesia Wilayah Jawa Tengah","Permohonan Izin Tempat Kunjungan",24-Feb-23,"Fasilitasi (P Budi ; Mbak Eva & Team)",Permohonan,06-Mar-23,08.00-10.00,
108,1701,077.Feb/2023,420/025/2023,2023-02-23,"Permohonan PKL (6 orang)","SMK Negeri 2 Surakarta","Permohonan PKL (6 orang)",23-Feb-23,"Fasilitasi (Pak Budi)",Permohonan,"10-Jul s.d 23-Des-23",,KST
109,1700,076.Feb/2023,B/170/UN31.UPBJJ18/TM.00.02/2023,2023-02-22,"Pendaftaran Mahasiswa Baru UT Permohonan Tempat","Universitas Terbuka Surakarta","Pendaftaran Mahasiswa Baru UT Permohonan Tempat",23-Feb-23,"Bagian kerjasama dan fasilitasi free (Pak Susilo dan Pak Danu)",Permohonan,"25-Feb-23 & 01-Mar-23",08.00-15.00,"Outdoor Area"
110,1699,075.Feb/2023,,2023-02-22,"Test Driver Kandidat Driver Shopee Xpress","Shopee Xpress","Test Driver Kandidat Driver Shopee Xpress",23-Feb-23,"Fasilitaso (Pak Danang)",Permohonan,"25 s.d 26-Feb-23",09.00-16.00,KST
111,1698,074.Feb/2023,PBx/SP/2023/II/003,2023-02-21,"Permohonan Izzin Sahabat Becik Surakarta PKBM Piwulang Becik","PKBM Piwulang Becik","Permohonan Izzin Sahabat Becik Surakarta PKBM Piwulang Becik",23-Feb-23,"Fasilitasi free, izin ke shopee garena (Pak Danang Pak Susilo)",Permohonan,25-Feb-23,09.00-12.00,KST
112,1697,073.Feb/2023,277/UNIDA/LPPI-HKI-I/VIII/2023,,"Benchmarking dengan STP tentang Sentra HKI UNIDA Gontor","UNIDA Gontor","Benchmarking dengan STP tentang Sentra HKI UNIDA Gontor",23-Feb-23,"Ditemui/fasilitasi (Pak Chris ; Pak Danu)",Permohonan,27-Feb-23,08.00-10.30,KST
113,1696,072.Feb/2023,005/263/II/2023,2023-02-23,"Undangan Pembahasan Surat Edaran Sekretaris Daerah tentang Inovasi","Balitbangda Surakarta","Undangan Pembahasan Surat Edaran Sekretaris Daerah tentang Inovasi",23-Feb-23,"Saya hadir. Nuwun",Undangan,23-Feb-23,12.30,Balitbangda
114,1695,071.Feb/2023,TM.00.05/161/2023,2023-02-22,"Undangan Pembahasan Tindak Lanjut Perjanjian Sewa antara STP dan Shopee","Setda Surakarta","Undangan Pembahasan Tindak Lanjut Perjanjian Sewa antara STP dan Shopee",23-Feb-23,"Reschedule Jumat 24 Feb 2023 (Pak Yudit, Pak Wahyu, Pak Susilo ikut hadir bersama saya. Nuwun)",Undangan,24-Feb-23,08.00,"Zoom Meeting"
115,1694,070.Feb/2023,TM.00/779/2023,2023-02-21,"Undangan Pembahasan Prioritas Rencana Kerjasama Daerah Kota Surakarta Tahun 2023","Setda Surakarta","Undangan Pembahasan Prioritas Rencana Kerjasama Daerah Kota Surakarta Tahun 2023",22-Feb-23,"Manager Kerjasama mohon hadir, persiapkan bahan dan koordinasi dgn HRD untuk menyiapkan surat tugas. Nuwun",Undangan,23-Feb-23,09.00,"The Legacy Hotel Solo"
116,1693,069.Feb/2023,0387/Sekr/AKBARA/II/2023,2023-02-21,"Permohonan Kunjungan Industri D4 Bisnis Digital","Politeknik Akbara","Permohonan Kunjungan Industri D4 Bisnis Digital",21-Feb-23,"Dihubungi waktu by personal (Bu Ani) - Komunikasi dgn Eva, surat menyusul minggu kedua bulan maret",Permohonan,,,
117,1692,068.Feb/2023,KU.01/707/2023,2023-02-16,"Surat Edaran Tim Pelaksana Kegiatan (TPK) Sesuai Pedoman Teknis Pelaksanaan Kegiatan APBD Kota Surakarta TA 2023 di Lingkungan Pemkot Surakarta","Setda Surakarta","Surat Edaran Tim Pelaksana Kegiatan (TPK) Sesuai Pedoman Teknis Pelaksanaan Kegiatan APBD Kota Surakarta TA 2023 di Lingkungan Pemkot Surakarta",21-Feb-23,"Ka. TU mohon dipedomani dan kroscek SIRUP, apakah sudah dianggarkan konsultan pengawas untuk diatas 1M. Nuwun",Pemberitahuan,,,
118,1691,067.Feb/2023,KU.05/708/2023,2023-02-16,"Surat Edaran Penyusunan Pelaporan Pengendalian Kegiatan APBD di Lingkungan Pemerintah Kota Surakarta TA 2023","Setda Surakarta","Surat Edaran Penyusunan Pelaporan Pengendalian Kegiatan APBD di Lingkungan Pemerintah Kota Surakarta TA 2023",21-Feb-23,"Ka. TU mohon dipedomani dan diinfokan ke Mas Agus. Nuwun",Pemberitahuan,,,
119,1690,066.Feb/2023,488.0/340,2023-02-14,"Permohonan Fasilitasi Kegiatan Temu Admin Media Sosial dalam rangka pelatihan peningkatan keamanan akun media sosial bersama Meta Indonesias","Diskominfo Provinsi","Permohonan Fasilitasi Kegiatan Temu Admin Media Sosial dalam rangka pelatihan peningkatan keamanan akun media sosial bersama Meta Indonesias",21-Feb-23,"Pejabat Teknis Umum mohon difasilitasi dan koordinasi dgn PIC Diskominfo ybs. Nuwun",,,,
120,1689,065.Feb/2023,120.0/25,2023-02-20,"Undangan Kick-Off Hetero for Startup Season 3",Dinkop,"Undangan Kick-Off Hetero for Startup Season 3",21-Feb-23,Arsipkan,Undangan,21-Feb-23,08.00-10.00,"Bioskop Cinepolis Javamall Semarang"
121,1688,064.Feb/2023,01/EKS-1/KBIT-AS/II/2023,2023-02-17,"Izin Pemakaian Tempat untuk Family Gathering","TPA-KBIT-RA Alif Smart Surakarta","Izin Pemakaian Tempat untuk Family Gathering",21-Feb-23,"Dihubungi ditanyakan detail acara kegiatan (B. Ani)",Permohonan,21-Mei-23,06.00,
122,1687,063.Feb/2023,01/ii/yec/2023,2023-02-21,"Surat Pemberitahuan Penggunaan Ruangan",GOJEK,"Surat Pemberitahuan Penggunaan Ruangan",21-Feb-23,"Sudah dilaksanakan",Pemberitahuan,22-Feb-23,08.00-17.00,GOTO
123,1686,062.Feb/2023,KP.02/772/2023,2023-02-20,"Data Personil Pengelola SIJALAK KOAR","Setda Surakarta","Data Personil Pengelola SIJALAK KOAR",21-Feb-23,"Bu Lusi untuk hadir. Nuwun",Permohonan,23-Feb-23,,
124,1685,061.Feb/2023,B/447/KI/II/2023,2023-02-20,"Undangan Tindak Lanjut Pengembangan Aplikasi Manajemen Talent dan Pelatihan berbasis Artifisial Intelegence","Diskominfo SP","Undangan Tindak Lanjut Pengembangan Aplikasi Manajemen Talent dan Pelatihan berbasis Artifisial Intelegence",21-Feb-23,"Staf IT a.n Eko ; Divisi Diklat a.n Budi ;untuk hadir",Undangan,21-Feb-23,13.00,"Diskominfo SP"
125,1684,060.Feb/2023,B/264/BPSDMI/AKOM-Surakarta/PP/II/2023,2023-02-20,"Undangan Rapat Koordinasi Penerimaan Mahasiswa Baru AK Tekstil 2023",BPSDMI,"Undangan Rapat Koordinasi Penerimaan Mahasiswa Baru AK Tekstil 2023",20-Feb-23,Hadir,Undangan,28-Feb-23,14.00,"Gedung AK Tekstil Solo"
126,1683,059.Feb/2023,070/4813,2023-02-15,"Undangan Hasil Evaluasi PDSD 2022 & Persiapan PDSD 2023","Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah","Undangan Hasil Evaluasi PDSD 2022 & Persiapan PDSD 2023",20-Feb-23,"Saya hadir mendampingi Pak Agung. Mohon Bendahara UPTD KST menyiapkan berkas SPPDnya. Nuwun",Undangan,21-Feb-23,09.00,"Ruang Prayogasala Kantor Bappeda"
127,1682,058.Feb/2023,011/DPKS/II/2023,2023-02-20,"Undangan Sinergitas Dunia Pendidikan dan Dunia Usaha atau Industri","Dewan Pendidikan Kota Surakarta","Undangan Sinergitas Dunia Pendidikan dan Dunia Usaha atau Industri",20-Feb-23,"Sudah dihadiri",Undangan,25-Feb-23,08.30,"Rumah Dinas Walikota Surakarta"
128,1681,057.Feb/2023,26/02.3/SP/II/2023,2023-02-13,"Penawaran Greeting Dies Natalis UNS",SOLOPOS,"Penawaran Greeting Dies Natalis UNS",20-Feb-23,"Diambil alternatif 1 (Pak Untung)",,,,
129,1680,056.Feb/2023,422/Ikl/SM/Slo/II/2023,2023-02-15,"Penawaran Greeting Dies Natalis UNS","SUARA MERDEKA","Penawaran Greeting Dies Natalis UNS",20-Feb-23,"Tidak usah diambil",,,,
130,1679,055.Feb/2023,021.SUND-008/MTATV/II/2023,2023-02-20,"Undangan Narasumber",MTATV,"Undangan Narasumber",20-Feb-23,"Sudah dihadiri (Pak Chris)",Undangan,21-Feb-23,09.00-10.00,"Studio 2 MTATV"
131,1678,054.Feb/2023,TM.00/590/2023,2023-02-10,"Rapat Teknis Tim Koordinasi Kerjasama Daerah (TKKSD) tentang Tindak Lanjut Kerjasama","Setda Surakarta","Rapat Teknis Tim Koordinasi Kerjasama Daerah (TKKSD) tentang Tindak Lanjut Kerjasama",20-Feb-23,"Manager Kerjasama mohon hadir dan laporkan hasilnya. Nuwun",Undangan,20-Feb-23,08.30,"Ruang Rapat Bagian Tata Pemerintahan Setda"
132,1677,053.Feb/2023,415/I03.51.C7/HM/II/2023,2023-01-16,"Permohonan Kunjungan","SMP Batik Surakarta","Permohonan Kunjungan",20-Feb-23,"Fasilitasi (Bu Ani)",Kunjungan,24-Feb-23,13.00,SSC
133,1676,052.Feb/2023,281/YPIN/SMA.Nas/II/2023,2023-02-16,"Permohonan Izin Kunjungan","SMA NASIMA","Permohonan Izin Kunjungan",20-Feb-23,"Fasilitasi (Pak Budi)",Kunjungan,07-Mar-23,09.00-11.00,KST
134,1675,051.Feb/2023,,2023-02-17,"Surat Permohonan Kunjungan (Benchmarking)","PT DUA EMPAT TUJUH","Surat Permohonan Kunjungan (Benchmarking)",20-Feb-23,"Sudah ditemui (Pak Yudit)",Permohonan,21-Feb-23,09.30-11.30,KST
135,1674,049.Feb/2023,420/025/2023,2023-02-16,"Permohonan PKL","SMK Negeri 2 Surakarta","Permohonan PKL",17-Feb-23,"Fasilitasi jumlah bisa dikurangi (Pak Chris ; Pak Budi)",,,,
136,1673,048.Feb/2023,KP.12.08/1551/II/2023,2023-02-16,"Surat Edaran tentang Seleksi Anggota Tim Paduan Suara Pemerintah Kota Surakarta","Setda Surakarta","Surat Edaran tentang Seleksi Anggota Tim Paduan Suara Pemerintah Kota Surakarta",17-Feb-23,"Ka. TU tolong diinfokan, bagi yg berminat silahkan diusulkan dan koordinasi dgn Balitbangda. Nuwun",Pemberitahuan,,,
137,1672,047.Feb/2023,BL.01.03/602/2023,2023-02-10,"Peringatan Hari Ulang Tahun ke-278 Kota Solo Tahun 2023","Setda Surakarta","Peringatan Hari Ulang Tahun ke-278 Kota Solo Tahun 2023",16-Feb-23,"Pejabat Teknis Umum mohon dilaksanakan dan dikoordinasikan dgn pihak terkait. Nuwun",Pemberitahuan,,,
138,1671,046.Feb/2023,B/977/UN46.3.5/PK.01.06/2023,2023-02-14,"Pengantar MSIB Nasional","Universitas Trunojoyo Madura","Pengantar MSIB Nasional",16-Feb-23,"Diterima (sudah diterima di instansi lain)",Permohonan,,,
139,1670,045.Feb/2023,002/C/PAN/PEL/AEC13/I/2023,,"Permohonan Sponsorship Pameran Seni Rupa Internasional LPTK Seni Rupa dan Non LPTK dalam Negeri maupun Luar Negeri dengan tajuk Art Edu Care #13 Reconnect","FKIP UNS","Permohonan Sponsorship Pameran Seni Rupa Internasional LPTK Seni Rupa dan Non LPTK dalam Negeri maupun Luar Negeri dengan tajuk Art Edu Care #13 Reconnect",16-Feb-23,"Mas Susiolo buat analisis layak/tidaknya diberi sponsor",Permohonan,"24 s.d 28-Mei-23",,"Taman Budaya Jawa Tengah"
140,1669,044.Feb/2023,B/362/KI/II/2023,2023-02-10,"Undangan BIMTEK Pengajuan Rekomendasi",Diskominfo,"Undangan BIMTEK Pengajuan Rekomendasi",16-Feb-23,"Mbak Lusi mohon untuk hadir dan laporkan hasilnya. Nuwun",Undangan,22-Feb-23,13.00-15.00,Diskominfo
141,1668,043.Feb/2023,129/C.6-II.1/I.Kom/II/2023,2023-02-13,"Permohonan Magang (1 orang)","Universitas Muhammadiyah Surakarta","Permohonan Magang (1 orang)",15-Feb-23,CANCEL,,,,
142,1667,042.Feb/2023,"W.15 PAS.PAS.11.UM.01.01-640",2023-02-14,"Permohonan Kegiatan Studi Tiru","LPP Kelas IIA Malang","Permohonan Kegiatan Studi Tiru",15-Feb-23,"Fasilitasi (Pak Yudit ; Pak Danu)",Permohonan,03-Mar-23,08.30,KST
143,1666,041.Feb/2023,PG.00/662/2023,,"Surat Edaran Pelaksanaan atas Inputing RUP TA 2023","Setda Surakarta","Surat Edaran Pelaksanaan atas Inputing RUP TA 2023",15-Feb-23,"Ka. TU mohon dipedomani dan kroscek kembali isian SIRUP KST 2023. Nuwun",Pemberitahuan,,,
144,1665,040.Feb/2023,688/METTAMEDIA/SP/II/2023,2023-02-15,"Permohonan Siaran Live From Location","Metta Solo FM","Permohonan Siaran Live From Location",15-Feb-23,"Fasilitasi narasumber (B Ani ; P Rizky)",Permohonan,15-Mar-23,10.00-11.00,
145,1664,039.Feb/2023,B-03/D5.4/MARVES/PE.04.00/II/2023,2023-02-13,"Undangan Rapat Koordinasi Pengelolaan KI pada DPSP Borobudur","Kementrian Koordinator Bidang Kemaritiman dan Investasi RI","Undangan Rapat Koordinasi Pengelolaan KI pada DPSP Borobudur",15-Feb-23,"Saya hadir. Nuwun",Undangan,16-Feb-23,13.00-14.00,"Zoom Meeting"
146,1663,038.Feb/2023,005/222/2023,2023-02-14,"Pembahasan KAK Kajian Evaluasi Penilaian UPT BLUD KST","Balitbangda Surakarta","Pembahasan KAK Kajian Evaluasi Penilaian UPT BLUD KST",15-Feb-23,"Saya hadir. Nuwun",Undangan,15-Feb-23,12.30,"Ruang Rapat Balitbanda"
147,1662,037.Feb/2023,KP.00/1436/2023,2023-02-13,"Pelaporan Non ASN Tahun 2023",BKPSM,"Pelaporan Non ASN Tahun 2023",14-Feb-23,"Ka. TU mohon koordinasi dg HRD untuk mendata Non-ASN BLUD KST. Nuwun",Pemberitahuan,14-Feb-23,,
148,1661,036.Feb/2023,420/991,2022-11-14,"Permohonan Tempat Praktik Kerja Lapangan (2 orang)","SMK Negeri 5 Surakarta","Permohonan Tempat Praktik Kerja Lapangan (2 orang)",14-Feb-23,"Diterima dibuat surat balasan",Magang,"01-Mar-23 s.d 31-Okt-23",,
149,1660,035.Feb/2023,,2023-02-12,"Permohonan Izin untuk Foto Buku Kenangan","SMK Negeri 1 Surakarta","Permohonan Izin untuk Foto Buku Kenangan",14-Feb-23,"Bagian umum fasilitasi (P Danang; P Untung)",Permohonan,18-Feb-23,08.00-11.30,"Lapangan Tribun STP"
150,1659,034.Feb/2023,072/D.2-II-1/I.Kom/I/2023,2023-02-13,"Permohonan Magang (3 orang)","Universitas Muhammadiyah Surakarta","Permohonan Magang (3 orang)",13-Feb-23,CANCEL,,,,
151,1658,033.Feb/2023,019/Female&Children-Red/02/23,2023-02-10,"Permohonan Liputan tentang ""Menengok Wisata Edukatif Ramah Anak Technopark""","KG Media (PT. Penerbitan Sarana Bobo)","Permohonan Liputan tentang ""Menengok Wisata Edukatif Ramah Anak Technopark""",13-Feb-23,"Diterima 15/16 Feb 2023",Permohonan,,09.00-12.00,KST
152,1657,032.Feb/2023,TM.00.07/049/II/2023,2023-02-13,"Undangan Bimbingan Teknis Aplikasi E-BLUD","Badan Pengelolaan Keuangan dan Aset Daerah","Undangan Bimbingan Teknis Aplikasi E-BLUD",13-Feb-23,"Ka. TU tolong tugaskan Bendahara BLUD. Nuwun",Undangan,"15 s.d 17-Feb-23",08.30,"Grand Hap Hotel"
153,1656,031.Feb/2023,582/SMARTID.02/TU/2023,2023-02-10,"Undangan Agenda Perkenalan SmartID",SmartID,"Undangan Agenda Perkenalan SmartID",13-Feb-23,"pejabat pengelola, Ka. TU, manajer kerjasama mohon hadir bersama saya. Nuwun",Undangan,15-Feb-23,13.00,Zoom
154,1655,030.Feb/2023,B-708/II.2.4/PL.02.02/2/2023,2023-02-10,"Pemeriksaan Fisik BMN yang akan dihibahkan",BRIN,"Pemeriksaan Fisik BMN yang akan dihibahkan",13-Feb-23,"Mohon pemimpin, Ka. TU, dan Pengurus BMD serta pengelola kawasan hadir bersama saya. Nuwun",Kunjungan,15-Feb-23,10.00,KST
155,1654,029.Feb/2023,BL.01.03/608/2023,2023-02-13,"Surat Edaran tentang Peringatan Hari Jadi ke-278 Kota Solo Tahun 2023","Setda Surakarta","Surat Edaran tentang Peringatan Hari Jadi ke-278 Kota Solo Tahun 2023",13-Feb-23,"Ka. TU mohon disebarluaskan dan dipedoman. Nuwun","Surat Edaran",17-Feb-23,,
156,1653,028.Feb/2023,086/C3/D.L/MTs.NDM/II/2023,2023-02-11,"Permohonan Rencana Kunjungan","MTs NDM Surakarta","Permohonan Rencana Kunjungan",13-Feb-23,"Fasilitasi (SSC)",Kunjungan,15-Feb-23,10.30,KST
157,1652,026.Feb/2023,306/FEB-UNIKU-KNG/LL/2023,2023-02-10,"Permohonan sebagai Narasumber","FEB Universitas Kuningan","Permohonan sebagai Narasumber",10-Feb-23,"Sudah disampaikan Shopee",Permohonan,16-Mar-23,09.00,"Kampus UMKM Shopee"
158,1651,025.Feb/2023,305/FEB-UNIKU/KNG/LL/2023,2023-02-10,"Permohonan Kunjungan ke Kampus UMKM Shopee Solo","FEB Universitas Kuningan","Permohonan Kunjungan ke Kampus UMKM Shopee Solo",10-Feb-23,"Sudah disampaikan Shopee",Permohonan,16-Mar-23,09.00,"Kampus UMKM Shopee"
159,1650,024.Feb/2023,"002/SMK BK/E.11/I/TM/2023",2023-01-25,"Permohonan Praktik Kerja Lapangan","SMK Bhinneka Karya Surakarta","Permohonan Praktik Kerja Lapangan",10-Feb-23,"Dipetakan Kapasitas PKL",Permohonan,"20-Jun s.d 16-Sept-23",,
160,1649,023.Feb/2023,02/PBR/SDAB1/I/2023,2023-02-02,"Permohonan Izin Kegiatan OTFA","SD Alam Bengawan Solo","Permohonan Izin Kegiatan OTFA",09-Feb-23,"Fasilitasi (SSC)",Permohonan,23-Feb-23,10.00,SSC
161,1648,022.Feb/2023,TM.00/486/2023,2023-02-06,"Undangan Workshop Pemetaan Potensi Kerjasama Daerah Tahun 2023","Setda Surakarta","Undangan Workshop Pemetaan Potensi Kerjasama Daerah Tahun 2023",09-Feb-23,"Pak Susilo tolong hadiri dan laporkan hasilnya. Nuwun",Undangan,14-Feb-23,11.00-12.00,"Solo's Bistro Restaurant"
